customer_id	email	first_name	last_name	registration_date	recency_days	frequency	monetary_value	avg_order_value	first_order_date	last_order_date	recency_score	frequency_score	monetary_score	rfm_segment	customer_segment
6014	daniellehuber@example.com	Deborah	Salas	2024-03-29	12	9	15046.98	626.957500	2024-04-12	2025-09-02	1	1	1	111	Lost Customers
2923	jessicagutierrez@example.com	Melanie	Scott	2023-06-11	66	11	15017.11	600.684400	2024-01-11	2025-07-10	2	1	1	211	Lost Customers
2085	tanya09@example.net	Debbie	Cruz	2021-10-25	338	6	14978.05	936.128125	2021-12-01	2024-10-11	5	1	1	511	New Customers
1440	wrivers@example.org	Heather	Alexander	2023-07-06	36	10	14971.63	787.980526	2023-10-11	2025-08-09	2	1	1	211	Lost Customers
9426	murphymichael@example.org	Mark	Mccormick	2025-07-02	20	8	14904.72	784.458947	2025-07-04	2025-08-25	1	1	1	111	Lost Customers
7100	weberjacob@example.org	Paige	Simpson	2025-04-13	10	8	14762.47	641.846522	2025-05-04	2025-09-04	1	1	1	111	Lost Customers
5723	williamscynthia@example.net	Danielle	Oneal	2025-01-26	42	8	14700.28	588.011200	2025-02-04	2025-08-03	2	1	1	211	Lost Customers
14	josephbrennan@example.com	Tamara	Hickman	2022-03-20	334	9	14665.48	564.056923	2022-10-18	2024-10-15	5	1	1	511	New Customers
3902	fhall@example.com	David	Schwartz	2023-10-12	127	8	14659.83	814.435000	2023-11-02	2025-05-10	3	1	1	311	Potential Loyalists
9946	mcdowelljoseph@example.org	Michelle	Fischer	2022-08-10	256	10	14533.05	692.050000	2022-08-19	2025-01-01	4	1	1	411	New Customers
6154	xbrown@example.net	Jessica	Ortiz	2021-09-27	399	6	14448.55	688.026190	2021-11-12	2024-08-11	5	1	1	511	New Customers
6066	wrightdavid@example.org	Darryl	Summers	2022-10-31	24	9	14447.29	687.966190	2023-01-04	2025-08-21	1	1	1	111	Lost Customers
2560	john00@example.com	Christina	Robles	2024-12-22	54	7	14440.62	902.538750	2025-01-29	2025-07-22	2	1	1	211	Lost Customers
2110	cookgregory@example.com	Tina	Powell	2025-01-09	48	8	14367.26	532.120741	2025-01-17	2025-07-28	2	1	1	211	Lost Customers
3290	robertokhan@example.org	Leslie	Joyce	2022-04-01	17	10	14352.29	624.012609	2022-04-30	2025-08-28	1	1	1	111	Lost Customers
3216	jonathansmith@example.com	Jeffrey	Freeman	2022-01-15	99	10	14256.97	491.619655	2022-02-05	2025-06-07	3	1	1	311	Potential Loyalists
2536	benjaminwalker@example.com	Benjamin	Reyes	2021-12-04	64	12	14194.22	506.936429	2022-01-25	2025-07-12	2	1	1	211	Lost Customers
1168	juarezralph@example.org	Stephanie	Peters	2022-11-03	85	7	14174.60	708.730000	2022-12-03	2025-06-21	3	1	1	311	Potential Loyalists
3389	rlang@example.com	Lindsay	Cook	2021-12-20	37	8	14156.25	643.465909	2022-12-01	2025-08-08	2	1	1	211	Lost Customers
7067	fgarner@example.com	Joshua	Weiss	2024-05-19	50	10	14144.94	544.036154	2024-06-05	2025-07-26	2	1	1	211	Lost Customers
5030	jessicarowe@example.net	Lori	Evans	2025-02-13	1	9	14061.36	781.186667	2025-02-13	2025-09-13	1	1	1	111	Lost Customers
6116	thomas23@example.org	Jose	Jenkins	2025-02-01	44	7	13957.30	775.405556	2025-03-13	2025-08-01	2	1	1	211	Lost Customers
1867	floresjohn@example.com	Manuel	Hubbard	2024-12-08	47	9	13901.59	631.890455	2025-01-12	2025-07-29	2	1	1	211	Lost Customers
786	carrierobinson@example.com	Joshua	Daniel	2022-11-25	26	5	13897.80	992.700000	2023-10-22	2025-08-19	1	2	1	121	Lost Customers
5495	tmay@example.net	Kristin	Parker	2025-09-13	1	12	13891.79	555.671600	2025-09-13	2025-09-13	1	1	1	111	Lost Customers
5909	gjames@example.com	Caleb	Norton	2023-10-19	81	5	13887.98	730.946316	2024-05-10	2025-06-25	3	2	1	321	Potential Loyalists
2622	erica73@example.org	Wendy	Pearson	2025-09-08	1	7	13865.36	924.357333	2025-09-09	2025-09-13	1	1	1	111	Lost Customers
4307	nancy14@example.com	Michael	Clark	2025-01-30	17	7	13841.06	865.066250	2025-05-14	2025-08-28	1	1	1	111	Lost Customers
9766	thomas64@example.com	Jeffrey	Mendoza	2022-09-21	134	5	13827.55	1063.657692	2023-06-24	2025-05-03	3	2	1	321	Potential Loyalists
6738	weberphillip@example.org	Benjamin	Petersen	2024-11-18	13	10	13813.79	627.899545	2024-12-01	2025-09-01	1	1	1	111	Lost Customers
53	casey50@example.com	Lynn	Garcia	2023-02-03	25	16	13779.22	362.611053	2023-03-27	2025-08-20	1	1	1	111	Lost Customers
5946	michael85@example.net	Jane	Paul	2023-05-25	209	9	13632.26	757.347778	2023-06-15	2025-02-17	4	1	1	411	New Customers
4368	glennjeremy@example.org	Sara	Rodriguez	2024-11-28	18	14	13627.19	567.799583	2025-02-25	2025-08-27	1	1	1	111	Lost Customers
4897	ohudson@example.net	Renee	Wells	2024-12-01	2	3	13471.47	1496.830000	2025-03-24	2025-09-12	1	3	1	131	Others
2950	josephfoster@example.com	Robert	Rice	2024-07-11	235	5	13456.07	1121.339167	2024-07-29	2025-01-22	4	2	1	421	New Customers
1562	smithjerry@example.org	Allen	Holt	2022-05-17	62	6	13453.82	672.691000	2022-06-24	2025-07-14	2	1	1	211	Lost Customers
6307	gary58@example.org	Matthew	Bond	2022-11-05	100	10	13441.49	584.412609	2023-03-04	2025-06-06	3	1	1	311	Potential Loyalists
1001	susan35@example.com	Jeanne	Robertson	2024-11-18	20	9	13413.43	558.892917	2024-12-21	2025-08-25	1	1	1	111	Lost Customers
2609	anna75@example.com	Tyler	Lawson	2021-11-19	149	11	13313.27	532.530800	2022-07-16	2025-04-18	3	1	1	311	Potential Loyalists
1726	danieldunn@example.org	Jeffrey	Reynolds	2022-02-02	55	10	13309.94	532.397600	2022-04-18	2025-07-21	2	1	1	211	Lost Customers
2036	matthewespinoza@example.net	William	Vasquez	2022-05-24	248	8	13282.79	664.139500	2022-11-27	2025-01-09	4	1	1	411	New Customers
813	markfigueroa@example.com	Julia	Chapman	2022-02-02	43	11	13274.49	530.979600	2022-05-30	2025-08-02	2	1	1	211	Lost Customers
4076	ulopez@example.com	Jason	Atkinson	2024-03-25	15	13	13234.45	401.043939	2024-04-06	2025-08-30	1	1	1	111	Lost Customers
3222	robleschristopher@example.org	Vincent	Anderson	2024-05-29	29	6	13218.91	881.260667	2024-06-23	2025-08-16	2	1	1	211	Lost Customers
7400	cskinner@example.net	David	Lara	2024-10-23	32	13	13182.82	470.815000	2024-11-12	2025-08-13	2	1	1	211	Lost Customers
2920	lopezaaron@example.net	Pamela	Daniels	2023-12-26	10	7	13161.77	692.724737	2024-12-03	2025-09-04	1	1	1	111	Lost Customers
2771	tylerthompson@example.com	Karen	Clark	2024-11-06	24	11	13157.19	487.303333	2024-11-23	2025-08-21	1	1	1	111	Lost Customers
6200	lisa32@example.net	Ryan	Wilcox	2022-03-07	34	12	13145.72	424.055484	2022-09-17	2025-08-11	2	1	1	211	Lost Customers
4919	conniehenderson@example.net	Lawrence	Smith	2021-09-26	34	7	13078.80	622.800000	2021-09-29	2025-08-11	2	1	1	211	Lost Customers
7133	brianna38@example.org	Michael	Bennett	2024-08-22	57	7	12976.82	617.943810	2024-09-26	2025-07-19	2	1	1	211	Lost Customers
8251	abigailholmes@example.com	Roy	Williams	2022-02-08	155	13	12969.94	480.368148	2022-07-16	2025-04-12	3	1	1	311	Potential Loyalists
997	timothy88@example.org	Patrick	Kaiser	2022-01-27	187	7	12916.36	717.575556	2022-06-17	2025-03-11	4	1	1	411	New Customers
4905	lancewhitehead@example.org	Russell	Snyder	2024-01-20	36	8	12902.35	560.971739	2024-06-26	2025-08-09	2	1	1	211	Lost Customers
6016	dylan94@example.net	Richard	Thomas	2025-01-24	1	12	12849.77	513.990800	2025-02-01	2025-09-13	1	1	1	111	Lost Customers
537	patriciavargas@example.org	Robin	Villanueva	2022-09-11	191	10	12842.56	675.924211	2022-12-21	2025-03-07	4	1	1	411	New Customers
1326	shannonevans@example.net	Melissa	Montoya	2022-08-17	48	9	12788.31	608.967143	2022-09-03	2025-07-28	2	1	1	211	Lost Customers
885	raymond12@example.com	Ruben	Lopez	2024-02-13	28	10	12771.51	672.184737	2024-03-08	2025-08-17	2	1	1	211	Lost Customers
2598	ehuff@example.net	Erica	Smith	2025-01-23	10	9	12749.36	607.112381	2025-04-06	2025-09-04	1	1	1	111	Lost Customers
9645	adamsrobert@example.net	Justin	Knox	2025-06-08	11	6	12738.96	979.920000	2025-06-26	2025-09-03	1	1	1	111	Lost Customers
2094	turnerkari@example.org	Carl	Buckley	2023-11-02	23	7	12714.67	605.460476	2023-12-13	2025-08-22	1	1	1	111	Lost Customers
193	adamsemily@example.net	Benjamin	Jones	2023-11-05	204	6	12654.78	744.398824	2023-11-21	2025-02-22	4	1	1	411	New Customers
5900	jessica25@example.net	Patrick	Hill	2022-01-16	57	4	12654.53	1406.058889	2023-05-01	2025-07-19	2	2	1	221	Lost Customers
6962	petersonalexander@example.org	Eric	Carlson	2023-07-20	27	10	12643.26	486.279231	2023-08-09	2025-08-18	2	1	1	211	Lost Customers
6754	ngriffith@example.org	Stephen	Martin	2025-05-08	34	4	12631.87	1052.655833	2025-05-10	2025-08-11	2	2	1	221	Lost Customers
875	anthonyzimmerman@example.org	Ashley	Johnson	2021-10-21	14	9	12630.11	601.433810	2022-08-13	2025-08-31	1	1	1	111	Lost Customers
4081	tmathews@example.net	Chase	Mckinney	2024-11-14	53	10	12591.49	547.456087	2024-12-30	2025-07-23	2	1	1	211	Lost Customers
4589	bdominguez@example.com	Sharon	Esparza	2024-02-07	114	5	12588.65	968.357692	2024-05-17	2025-05-23	3	2	1	321	Potential Loyalists
8335	colliershelly@example.com	James	Morton	2023-06-11	21	8	12580.47	698.915000	2023-09-03	2025-08-24	1	1	1	111	Lost Customers
1304	qpayne@example.org	Aaron	Jones	2024-11-25	24	9	12569.94	546.519130	2024-12-27	2025-08-21	1	1	1	111	Lost Customers
8687	david42@example.com	Christina	Leach	2024-12-01	11	11	12552.49	502.099600	2024-12-06	2025-09-03	1	1	1	111	Lost Customers
8152	jmoore@example.com	Jeremy	Brown	2023-10-28	33	8	12548.32	896.308571	2024-01-12	2025-08-12	2	1	1	211	Lost Customers
8702	ufoster@example.com	Jonathan	Mcintyre	2023-05-29	46	11	12540.05	482.309615	2023-06-20	2025-07-30	2	1	1	211	Lost Customers
6306	davidsonsandra@example.org	Joshua	Greene	2022-06-06	320	7	12504.88	893.205714	2022-07-16	2024-10-29	4	1	1	411	New Customers
5412	hardindavid@example.com	Jason	Richards	2021-12-24	66	3	12504.25	2084.041667	2022-06-20	2025-07-10	2	3	1	231	Others
8367	dlynch@example.org	Patty	Wilson	2023-05-04	47	9	12501.80	595.323810	2024-07-15	2025-07-29	2	1	1	211	Lost Customers
1170	bateswilliam@example.org	Kayla	Hardy	2023-06-16	62	12	12475.02	462.037778	2023-08-13	2025-07-14	2	1	1	211	Lost Customers
560	angelapage@example.org	James	Collier	2024-04-04	27	12	12422.93	690.162778	2024-06-29	2025-08-18	2	1	1	211	Lost Customers
5962	santosmichael@example.org	Ryan	Wilkinson	2023-02-16	4	8	12419.08	887.077143	2024-01-08	2025-09-10	1	1	1	111	Lost Customers
5278	danielhubbard@example.com	Natalie	Bell	2024-10-15	110	4	12414.57	1128.597273	2024-12-22	2025-05-27	3	2	1	321	Potential Loyalists
5175	anthonycollins@example.org	Victoria	Bonilla	2022-09-11	25	6	12410.34	1241.034000	2022-09-19	2025-08-20	1	1	1	111	Lost Customers
9481	robinsonbrian@example.org	Eric	May	2024-04-17	325	4	12407.27	886.233571	2024-06-24	2024-10-24	4	3	1	431	Need Attention
4062	wrightroger@example.com	George	Roberts	2023-12-23	76	8	12397.62	953.663077	2024-01-27	2025-06-30	3	1	1	311	Potential Loyalists
2245	moralesdawn@example.com	Edward	White	2023-09-04	212	8	12397.14	619.857000	2023-11-03	2025-02-14	4	1	1	411	New Customers
3297	johndaniels@example.com	Erin	Archer	2021-11-06	18	13	12386.01	476.385000	2022-08-14	2025-08-27	1	1	1	111	Lost Customers
4592	rachelmorse@example.org	Mathew	Harris	2023-10-13	38	13	12379.07	375.123333	2023-11-03	2025-08-07	2	1	1	211	Lost Customers
4565	uaustin@example.org	Jose	Clark	2024-10-30	91	9	12349.08	536.916522	2024-11-04	2025-06-15	3	1	1	311	Potential Loyalists
9036	nicholas36@example.org	Jean	Caldwell	2023-07-31	160	10	12335.94	560.724545	2023-09-10	2025-04-07	3	1	1	311	Potential Loyalists
5005	johnsonrichard@example.com	Chelsea	Gomez	2022-04-08	171	6	12326.15	770.384375	2022-07-19	2025-03-27	4	1	1	411	New Customers
8376	oconnortiffany@example.net	Connor	Burke	2022-05-08	54	10	12320.47	513.352917	2022-08-02	2025-07-22	2	1	1	211	Lost Customers
8633	mary86@example.net	Daniel	Johnson	2025-06-08	2	10	12317.70	559.895455	2025-07-08	2025-09-12	1	1	1	111	Lost Customers
7205	thompsontheresa@example.net	Nicholas	Hernandez	2022-03-03	13	7	12304.87	878.919286	2022-05-10	2025-09-01	1	1	1	111	Lost Customers
85	stephen43@example.com	Melissa	Rodriguez	2022-11-25	27	6	12300.07	723.533529	2022-12-22	2025-08-18	2	1	1	211	Lost Customers
4084	rhernandez@example.org	Andrew	Simmons	2023-12-19	52	8	12293.31	558.786818	2024-02-13	2025-07-24	2	1	1	211	Lost Customers
2696	michael77@example.org	Alex	Sweeney	2025-07-24	7	10	12243.52	612.176000	2025-07-24	2025-09-07	1	1	1	111	Lost Customers
5240	rogersalisha@example.net	John	Moore	2024-01-08	274	4	12232.18	940.936923	2024-02-14	2024-12-14	4	3	1	431	Need Attention
2642	choitina@example.org	Robert	Ray	2025-01-09	8	9	12230.09	489.203600	2025-01-26	2025-09-06	1	1	1	111	Lost Customers
2350	kennethjones@example.com	Katie	Pearson	2022-12-08	27	8	12219.49	872.820714	2023-02-25	2025-08-18	2	1	1	211	Lost Customers
6383	ericmartin@example.org	Veronica	Deleon	2021-10-14	32	9	12216.52	531.153043	2022-03-21	2025-08-13	2	1	1	211	Lost Customers
5912	angelagreen@example.com	Tracy	Perry	2023-08-08	4	8	12208.59	610.429500	2024-02-24	2025-09-10	1	1	1	111	Lost Customers
6821	elizabethhinton@example.net	Robert	Palmer	2021-09-24	129	10	12198.53	609.926500	2021-12-16	2025-05-08	3	1	1	311	Potential Loyalists
5743	ashleyallen@example.net	Brian	Maxwell	2024-05-02	46	10	12173.36	608.668000	2024-05-06	2025-07-30	2	1	1	211	Lost Customers
3735	justinellison@example.com	Brian	Booth	2024-04-21	39	9	12152.11	578.671905	2024-05-19	2025-08-06	2	1	1	211	Lost Customers
8769	tarawong@example.org	Marc	Williams	2024-02-12	87	9	12120.80	526.991304	2024-04-12	2025-06-19	3	1	1	311	Potential Loyalists
8075	annawalker@example.org	Kimberly	Cunningham	2024-06-24	1	11	12068.25	502.843750	2024-06-25	2025-09-13	1	1	1	111	Lost Customers
680	nicole54@example.net	Shawn	Sanchez	2024-02-22	17	10	12057.03	482.281200	2024-04-19	2025-08-28	1	1	1	111	Lost Customers
2830	pamela31@example.com	Regina	Davidson	2025-05-22	4	6	12054.81	861.057857	2025-06-03	2025-09-10	1	1	1	111	Lost Customers
3470	cheyenne75@example.net	Ellen	Smith	2025-03-18	34	11	12031.40	501.308333	2025-04-05	2025-08-11	2	1	1	211	Lost Customers
7818	kgray@example.com	Cheyenne	Small	2022-08-27	373	8	12023.37	667.965000	2022-10-03	2024-09-06	5	1	1	511	New Customers
8243	jennifer05@example.com	Bryan	Robertson	2023-06-14	195	10	12022.03	445.260370	2023-10-12	2025-03-03	4	1	1	411	New Customers
8338	opena@example.com	Tracy	Zamora	2023-06-11	5	7	12018.17	632.535263	2023-10-24	2025-09-09	1	1	1	111	Lost Customers
4602	hannah92@example.com	Matthew	Greene	2023-07-06	6	7	12017.43	858.387857	2023-08-24	2025-09-08	1	1	1	111	Lost Customers
1642	lauramoore@example.com	Lisa	Turner	2024-04-21	87	7	11999.06	666.614444	2024-06-24	2025-06-19	3	1	1	311	Potential Loyalists
664	woodkeith@example.net	Eric	Watson	2024-02-09	23	12	11995.82	428.422143	2024-04-22	2025-08-22	1	1	1	111	Lost Customers
1771	christine97@example.net	Nathan	Jackson	2023-04-06	72	9	11991.24	631.117895	2023-08-23	2025-07-04	2	1	1	211	Lost Customers
1824	kevin18@example.com	Timothy	Scott	2023-04-04	114	8	11990.16	631.061053	2023-11-13	2025-05-23	3	1	1	311	Potential Loyalists
9367	charles41@example.org	Anthony	Lewis	2022-06-15	239	11	11986.07	665.892778	2022-06-26	2025-01-18	4	1	1	411	New Customers
9313	jamesmoore@example.org	Angela	Pierce	2025-06-25	4	8	11968.73	664.929444	2025-07-12	2025-09-10	1	1	1	111	Lost Customers
4753	matthewcooper@example.org	Brian	Gonzalez	2022-05-24	407	7	11953.25	597.662500	2022-11-29	2024-08-03	5	1	1	511	New Customers
6419	phillipalvarez@example.org	Mark	Blackburn	2023-01-11	89	7	11947.81	702.812353	2023-04-24	2025-06-17	3	1	1	311	Potential Loyalists
1872	kurt38@example.org	Kimberly	Oneal	2021-12-12	36	10	11923.32	441.604444	2022-02-09	2025-08-09	2	1	1	211	Lost Customers
9958	ochurch@example.org	Jessica	Green	2022-02-22	263	6	11917.12	595.856000	2022-03-13	2024-12-25	4	1	1	411	New Customers
1312	brittney11@example.org	Christopher	Mclaughlin	2024-12-02	119	7	11820.85	656.713889	2024-12-16	2025-05-18	3	1	1	311	Potential Loyalists
9619	lnelson@example.com	Mark	Aguirre	2023-10-05	8	11	11796.69	471.867600	2023-11-10	2025-09-06	1	1	1	111	Lost Customers
926	loriskinner@example.net	Jorge	Salazar	2022-11-26	28	10	11774.06	452.848462	2023-01-05	2025-08-17	2	1	1	211	Lost Customers
9839	troy84@example.org	Amanda	Ramsey	2024-12-21	19	12	11773.16	436.042963	2025-02-14	2025-08-26	1	1	1	111	Lost Customers
325	ian66@example.com	Joseph	Cruz	2025-03-20	3	8	11772.75	654.041667	2025-03-22	2025-09-11	1	1	1	111	Lost Customers
6260	reynoldschristopher@example.net	Bobby	Nelson	2024-06-15	107	11	11771.26	588.563000	2024-07-12	2025-05-30	3	1	1	311	Potential Loyalists
758	ortegakristina@example.org	Collin	Boyd	2021-09-27	370	8	11770.62	588.531000	2021-11-13	2024-09-09	5	1	1	511	New Customers
7588	wardshawn@example.net	Dawn	Thompson	2025-07-02	1	8	11748.65	587.432500	2025-07-04	2025-09-13	1	1	1	111	Lost Customers
5070	brian10@example.net	Ryan	Ramos	2024-10-19	13	11	11737.70	469.508000	2024-11-24	2025-09-01	1	1	1	111	Lost Customers
9023	sullivantimothy@example.com	James	Dickerson	2022-10-17	201	6	11735.01	488.958750	2023-04-09	2025-02-25	4	1	1	411	New Customers
196	ugill@example.org	Nathan	Gutierrez	2023-07-26	154	3	11731.90	1675.985714	2023-11-14	2025-04-13	3	3	1	331	Need Attention
300	htaylor@example.net	Anthony	Lee	2024-11-13	33	5	11713.93	976.160833	2024-11-20	2025-08-12	2	2	1	221	Lost Customers
6690	mcaldwell@example.org	Katherine	Martin	2024-12-16	60	6	11712.91	780.860667	2025-02-26	2025-07-16	2	1	1	211	Lost Customers
5784	shannon14@example.org	Edward	Ruiz	2022-11-15	257	10	11710.81	557.657619	2022-12-26	2024-12-31	4	1	1	411	New Customers
6650	eskinner@example.com	Lance	Fowler	2021-11-11	104	9	11706.63	616.138421	2022-02-15	2025-06-02	3	1	1	311	Potential Loyalists
3356	cchase@example.com	Kathleen	Cisneros	2022-07-05	214	13	11702.23	508.792609	2022-08-15	2025-02-12	4	1	1	411	New Customers
1611	kmorris@example.org	Christopher	Watkins	2023-01-15	5	6	11669.12	729.320000	2023-02-15	2025-09-09	1	1	1	111	Lost Customers
8083	petersonchristopher@example.org	Deanna	Knight	2023-11-25	93	7	11651.13	647.285000	2024-01-03	2025-06-13	3	1	1	311	Potential Loyalists
1980	tammythomas@example.com	Martha	Garner	2022-01-17	366	5	11649.88	776.658667	2022-01-24	2024-09-13	5	2	1	521	New Customers
8686	thomasbowers@example.net	Shawn	White	2024-08-28	135	5	11632.61	894.816154	2024-09-09	2025-05-02	3	2	1	321	Potential Loyalists
1413	kylehahn@example.net	Jeremy	Lawson	2024-04-08	138	5	11614.84	1659.262857	2024-07-23	2025-04-29	3	2	1	321	Potential Loyalists
3650	zimmermanashley@example.com	Cheryl	Pruitt	2025-04-12	20	8	11597.12	644.284444	2025-05-01	2025-08-25	1	1	1	111	Lost Customers
4042	derek49@example.org	George	Allen	2024-03-31	90	12	11566.63	550.791905	2024-06-09	2025-06-16	3	1	1	311	Potential Loyalists
2996	adammartinez@example.org	Lori	Johnson	2025-02-13	8	12	11562.54	462.501600	2025-04-22	2025-09-06	1	1	1	111	Lost Customers
7153	nicole36@example.net	Jeremiah	Reed	2023-10-04	38	7	11561.37	550.541429	2024-03-04	2025-08-07	2	1	1	211	Lost Customers
807	bmiller@example.org	Christina	Daniel	2023-06-10	327	6	11559.21	889.170000	2023-09-03	2024-10-22	4	1	1	411	New Customers
9496	shannonallen@example.com	Anthony	Lee	2023-08-09	152	6	11526.11	768.407333	2024-01-06	2025-04-15	3	1	1	311	Potential Loyalists
2053	iruiz@example.com	Steve	Lynch	2023-12-16	86	7	11519.28	606.277895	2024-01-12	2025-06-20	3	1	1	311	Potential Loyalists
5869	richardsbrett@example.org	Amanda	Humphrey	2023-06-21	82	9	11511.46	575.573000	2023-07-13	2025-06-24	3	1	1	311	Potential Loyalists
6373	duranlaura@example.org	Emily	Watson	2022-03-06	140	5	11510.94	605.838947	2022-05-28	2025-04-27	3	2	1	321	Potential Loyalists
7218	rebecca22@example.net	Sandra	Turner	2024-07-05	62	7	11506.99	885.153077	2024-10-01	2025-07-14	2	1	1	211	Lost Customers
809	davidmorales@example.com	Veronica	Hickman	2024-01-25	5	9	11506.08	479.420000	2024-04-30	2025-09-09	1	1	1	111	Lost Customers
2537	april04@example.org	Sandra	Rosales	2022-06-10	49	8	11505.19	547.866190	2023-09-25	2025-07-27	2	1	1	211	Lost Customers
2219	robertjohnson@example.org	Dennis	Bailey	2021-12-24	64	12	11483.88	499.299130	2022-01-18	2025-07-12	2	1	1	211	Lost Customers
4687	levyelizabeth@example.org	Adam	Bass	2024-04-09	70	9	11477.13	765.142000	2024-07-03	2025-07-06	2	1	1	211	Lost Customers
8103	msalazar@example.net	Albert	Short	2025-03-21	16	9	11474.29	637.460556	2025-04-18	2025-08-29	1	1	1	111	Lost Customers
7641	taylor69@example.net	Samantha	Anthony	2023-12-10	11	7	11437.75	672.808824	2024-03-30	2025-09-03	1	1	1	111	Lost Customers
7279	ann79@example.net	Donald	Brooks	2025-08-11	3	9	11426.03	761.735333	2025-08-12	2025-09-11	1	1	1	111	Lost Customers
706	louis63@example.org	Kathryn	Matthews	2022-06-21	221	5	11411.83	600.622632	2022-07-29	2025-02-05	4	2	1	421	New Customers
5559	underwoodhaley@example.org	Steven	Lucas	2024-08-05	76	9	11406.68	456.267200	2024-10-30	2025-06-30	3	1	1	311	Potential Loyalists
802	ricerachel@example.com	David	Freeman	2022-02-09	391	7	11395.80	542.657143	2022-03-09	2024-08-19	5	1	1	511	New Customers
4637	lutzkaren@example.com	Ashley	Morgan	2021-10-14	16	8	11385.07	569.253500	2021-12-29	2025-08-29	1	1	1	111	Lost Customers
6769	samanthagarner@example.org	Michael	Stanley	2022-12-21	41	7	11346.88	667.463529	2023-04-10	2025-08-04	2	1	1	211	Lost Customers
2768	matthewgrant@example.com	Kathleen	Andrews	2024-09-05	160	9	11346.11	472.754583	2024-11-25	2025-04-07	3	1	1	311	Potential Loyalists
1146	wjordan@example.org	Valerie	Lewis	2025-06-29	3	8	11345.10	667.358824	2025-06-30	2025-09-11	1	1	1	111	Lost Customers
